"A1","A2","A3[001]","A3[002]","A3[003]","A3[004]","A3[005]","A3[006]","A3[007]","A3[008]","A3[009]","A3[other]","A4","A5","A6","A7","A8","A9","S10[SQ001]","S10[SQ002]","S11[SQ002]","S11[SQ003]","S11[SQ004]","S11[other]","S12","S13[SQ001]","S13[SQ002]","S13[SQ003]","TK14[SQ001]","TK14[SQ002]","TK14[SQ003]","TK14[SQ004]","TK14[SQ005]","TK14[SQ006]","TK14[SQ007]","TK14[SQ008]","TK14[SQ009]","TK14[other]","TK15[SQ002]","TK15[SQ003]","TK15[SQ004]","TK15[SQ005]","TK16","TK17","TK18","TK19[SQ001]","TK19[SQ002]","TK19[SQ003]","TK20","TK21[SQ002]","TK21[SQ003]","S22","S22[other]","S23","GE24[SQ001]","GE24[SQ002]","GE24[SQ003]","GE24[SQ004]","GE24[SQ005]","GE24[SQ006]","GE24[SQ007]"
"35 bis 44 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Kleines Unternehmen (< 50 Mitarbeitende)","6 bis 10","Selten (nur in speziellen Fällen)","Die Prozesse sind etabliert und bekannt. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Hybrid (Teile des Teams Remote und vor Ort)","Nein","Ja","Nein","","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme zu","Stimme voll und ganz zu","Stimme eher zu","Ja","Nein","Nein","Ja","Nein","Nein","Ja","Ja","Nein","","Stimme eher zu","Stimme zu","Stimme eher zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Wohl","Stimme eher zu","Stimme zu","Stimme zu","Ja, deutlich","Stimme eher zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Stimme eher zu","Stimme eher zu","Stimme eher zu","Weder noch","Stimme eher zu","Stimme eher zu","Stimme zu"
"25 bis 34 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","11 bis 15","Bei jeder Schätzung","Die Prozesse sind etabliert und bekannt. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Remote","Remote","Ja","Ja","Nein","automatische Berechnung des Durchschnitts","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Stimme kaum zu","Stimme zu","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Ja","Application Operation Manager","Stimme eher zu","Stimme zu","Stimme zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Selten","Sehr wohl","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Ja, deutlich","Stimme zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Stimme eher zu","Stimme zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme zu"
"45 bis 54 Jahre","Über 10 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Agile Coach","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Selten (nur in speziellen Fällen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Vor Ort","Vor Ort","Nein","Nein","Ja","Da ich es in meiner Rolle zu Schulungszwecken einsetze ist es vor Ort besser verständlich","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher nicht zu","Ja","Ja","Nein","Ja","Ja","Nein","Nein","Ja","Ja","","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Wohl","Stimme eher zu","Stimme eher zu","Weder noch","Ja, deutlich","Stimme zu","Stimme voll und ganz zu","Durch formelle Schulung innerhalb des Unternehmens","","Empfehlenswert","Stimme zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"35 bis 44 Jahre","1 bis 3 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","Mehr als 15","Nie","","","","","","N. v.","N. v.","N. v.","","","","","","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","","","","","","","","","","","","","","","","","","","","","","","",""
"25 bis 34 Jahre","1 bis 3 Jahre","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Grossunternehmen (>250 Mitarbeitende)","11 bis 15","Häufig (mehr als 50% der Schätzungen)","Prozesse sind vorhanden, werden aber uneinheitlich angewendet. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Vollständig autonom. 🛈","Remote","Remote","Ja","Ja","Nein","Das Team ist auf verschiedene Standorte/Länder aufgeteilt","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Stimme eher zu","Stimme kaum zu","Ja","Nein","Ja","Ja","Nein","Nein","Ja","Ja","Nein","","Stimme eher nicht zu","Stimme eher zu","Stimme zu","Stimme eher zu","Schnell (0-1 Diskussionsrunde)","Gelegentlich","Wohl","Stimme eher zu","Stimme eher zu","Stimme zu","Ja, etwas","Stimme eher zu","Weder noch","Ich wurde nicht auf die Anwendung von Planning Poker vorbereitet","","Nicht empfehlenswert","Stimme eher zu","Stimme eher zu","Stimme zu","Stimme zu","Stimme eher zu","Stimme eher zu","Stimme zu"
"25 bis 34 Jahre","Unter 1 Jahr","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","6 bis 10","Nie","","","","","","N. v.","N. v.","N. v.","","","","","","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","","","","","","","","","","","","","","","","","","","","","","","",""
"35 bis 44 Jahre","Über 10 Jahre","Nein","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Nein","","Kleines Unternehmen (< 50 Mitarbeitende)","6 bis 10","Bei jeder Schätzung","Prozesse sind vorhanden, werden aber uneinheitlich angewendet. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Remote","Vor Ort","Ja","Ja","Ja","","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme zu","Stimme kaum zu","Stimme eher zu","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Ja","","Stimme eher zu","Stimme zu","Stimme eher zu","Stimme zu","Schnell (0-1 Diskussionsrunde)","Oft","Neutral","Weder noch","Stimme zu","Stimme eher zu","Ja, etwas","Stimme eher zu","Stimme eher zu","Ich wurde nicht auf die Anwendung von Planning Poker vorbereitet","","Empfehlenswert","Stimme eher zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme voll und ganz zu"
"35 bis 44 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Ja","Ja","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","Weniger als 5","Nie","","","","","","N. v.","N. v.","N. v.","","","","","","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","","","","","","","","","","","","","","","","","","","","","","","",""
"25 bis 34 Jahre","7 bis 10 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","Mehr als 15","Nie","","","","","","N. v.","N. v.","N. v.","","","","","","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","","","","","","","","","","","","","","","","","","","","","","","",""
"35 bis 44 Jahre","Unter 1 Jahr","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","","Kleines Unternehmen (< 50 Mitarbeitende)","Mehr als 15","Selten (nur in speziellen Fällen)","Es sind keine Prozesse vorhanden. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Vor Ort","Vor Ort","Nein","Nein","Ja","","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","senior executive","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Langwierig (mehr als 3 Diskussionsrunden)","Sehr oft","Sehr wohl","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja, deutlich","Stimme voll und ganz zu","Stimme voll und ganz zu","Durch formelle Schulung innerhalb des Unternehmens","","Zwingend notwendig","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Stimme eher zu","Stimme zu","Stimme eher zu","Stimme zu"
